epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,10291,0.84537,0.65468,1.09368,0.8454,0.86244,0.89503,0.67914,0.92112,0.62499,1.08194,0.00294239,0.00294239,0.00294239
98,10397.4,0.84049,0.64927,1.09264,0.84687,0.86135,0.89561,0.67994,0.92038,0.62399,1.08137,0.00284906,0.00284906,0.00284906
99,10504.1,0.83576,0.64166,1.0918,0.84877,0.862,0.89715,0.68093,0.91977,0.6231,1.08088,0.00275668,0.00275668,0.00275668
100,10610.3,0.8391,0.63894,1.09044,0.84802,0.86239,0.89756,0.68128,0.91913,0.62223,1.0803,0.00266532,0.00266532,0.00266532
101,10716.3,0.82974,0.63085,1.08605,0.85049,0.86111,0.89753,0.68219,0.91896,0.62183,1.08014,0.002575,0.002575,0.002575
102,10822.6,0.83155,0.62967,1.08639,0.85061,0.86233,0.89818,0.68239,0.91852,0.62101,1.07968,0.00248577,0.00248577,0.00248577
103,10928.6,0.82657,0.61879,1.08289,0.84963,0.86431,0.89783,0.68265,0.9182,0.6206,1.07941,0.00239766,0.00239766,0.00239766
104,11034.9,0.82459,0.62291,1.08452,0.84952,0.86639,0.89875,0.68296,0.91776,0.62015,1.07906,0.00231071,0.00231071,0.00231071
105,11140.9,0.81725,0.61249,1.07975,0.85232,0.86423,0.89915,0.68379,0.91743,0.61985,1.07878,0.00222497,0.00222497,0.00222497
106,11246.5,0.81905,0.61399,1.08003,0.8499,0.86644,0.89969,0.68397,0.9172,0.61899,1.07856,0.00214046,0.00214046,0.00214046
107,11352.2,0.81492,0.60637,1.07718,0.85222,0.86633,0.90083,0.68444,0.91708,0.61858,1.07844,0.00205723,0.00205723,0.00205723
108,11458.2,0.80971,0.60261,1.07624,0.8548,0.86676,0.90151,0.68521,0.91652,0.61802,1.07811,0.00197532,0.00197532,0.00197532
109,11564.7,0.80518,0.59932,1.07283,0.8549,0.86741,0.90198,0.6854,0.91652,0.61766,1.07804,0.00189475,0.00189475,0.00189475
110,11672.1,0.79936,0.5912,1.06897,0.8553,0.86842,0.90216,0.68582,0.91613,0.61727,1.07799,0.00181557,0.00181557,0.00181557
111,11778.8,0.79326,0.58533,1.06759,0.8566,0.86883,0.90251,0.686,0.91566,0.61676,1.07764,0.0017378,0.0017378,0.0017378
112,11884.9,0.79319,0.58119,1.06374,0.85696,0.86965,0.90286,0.6867,0.91525,0.61617,1.0772,0.00166149,0.00166149,0.00166149
113,11990.6,0.79062,0.58098,1.06553,0.85759,0.87094,0.90331,0.68732,0.91509,0.61603,1.0771,0.00158667,0.00158667,0.00158667
114,12096.2,0.78736,0.572,1.06132,0.85666,0.87191,0.9036,0.68773,0.91495,0.61603,1.07696,0.00151336,0.00151336,0.00151336
115,12202,0.78591,0.57268,1.06367,0.85654,0.87309,0.90398,0.68785,0.91498,0.61576,1.07707,0.00144161,0.00144161,0.00144161
116,12308.4,0.77901,0.56413,1.05922,0.85726,0.87359,0.90438,0.68811,0.91491,0.61538,1.07705,0.00137143,0.00137143,0.00137143
117,12414.7,0.77552,0.56171,1.05621,0.85984,0.87265,0.90456,0.68869,0.91483,0.61498,1.0771,0.00130287,0.00130287,0.00130287
118,12520.3,0.77493,0.55639,1.05275,0.85985,0.87285,0.9051,0.68902,0.91462,0.61465,1.07704,0.00123596,0.00123596,0.00123596
119,12625.9,0.77083,0.554,1.05279,0.86065,0.87363,0.90547,0.68909,0.91452,0.61461,1.07705,0.00117072,0.00117072,0.00117072
